time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-13T12:51:10.790Z,-21.8971,168.9335,20.7,5.3,mb,,93,1.55,1.31,us,us2000it7j,2018-12-13T13:10:29.040Z,"115km ESE of Tadine, New Caledonia",earthquake,7.9,2.4,0.062,87,reviewed,us,us
2018-12-13T09:28:18.180Z,5.0328,-73.0095,10,4.8,mb,,43,1.32,1.09,us,us2000it6l,2018-12-13T09:42:46.040Z,"8km SSE of Paez, Colombia",earthquake,6.7,1.9,0.048,134,reviewed,us,us
2018-12-13T06:26:41.090Z,37.5312,20.6629,10,4.9,mb,,44,1.065,0.99,us,us2000it5t,2018-12-13T06:50:35.040Z,"25km SW of Lithakia, Greece",earthquake,4.4,1.8,0.069,65,reviewed,us,us
2018-12-13T05:47:39.010Z,39.0301,74.7213,35,4.6,mb,,66,2.309,0.97,us,us2000it5l,2018-12-13T06:20:44.040Z,"100km E of Karakul, Tajikistan",earthquake,6.4,2,0.087,40,reviewed,us,us
2018-12-13T04:27:11.880Z,-18.82,-176.1517,291.82,4.5,mb,,102,5.609,0.84,us,us2000it51,2018-12-13T04:49:09.040Z,"218km WNW of Pangai, Tonga",earthquake,13.4,10.3,0.1,29,reviewed,us,us
2018-12-13T04:25:52.500Z,-2.9106,119.3907,10,4.8,mb,,143,2.12,0.88,us,us2000it5e,2018-12-13T05:16:12.040Z,"3km NNE of Mamasa, Indonesia",earthquake,8,1.9,0.128,19,reviewed,us,us
2018-12-13T04:04:28.490Z,-27.6902,-69.2328,107.33,4.6,mwr,,59,0.894,0.94,us,us2000it4i,2018-12-13T04:17:16.040Z,"114km ESE of Copiapo, Chile",earthquake,6.2,5.8,0.053,34,reviewed,us,us
2018-12-13T02:52:47.910Z,-22.3163,169.3299,10,4.9,mb,,103,2.663,0.72,us,us2000it45,2018-12-13T03:19:42.040Z,"171km ESE of Tadine, New Caledonia",earthquake,10.9,1.9,0.125,20,reviewed,us,us
2018-12-13T02:33:04.550Z,-22.1077,168.9902,10,5,mb,,96,2.358,1.07,us,us2000it40,2018-12-13T03:08:52.040Z,"130km ESE of Tadine, New Caledonia",earthquake,5.4,1.8,0.093,37,reviewed,us,us
2018-12-13T01:26:53.220Z,5.5803,127.0215,35,4.6,mb,,90,2.06,0.8,us,us2000it3f,2018-12-13T01:41:59.040Z,"127km SE of Pondaguitan, Philippines",earthquake,9.7,2,0.108,26,reviewed,us,us
2018-12-13T00:50:27.120Z,8.6771,94.5563,119,4.6,mb,,170,4.167,0.96,us,us2000it3d,2018-12-13T01:36:04.040Z,"157km ENE of Mohean, India",earthquake,12.7,6,0.119,21,reviewed,us,us
2018-12-12T23:53:43.380Z,-19.4855,169.6837,10,5.1,mb,,84,3.976,0.84,us,us2000it31,2018-12-13T00:12:17.040Z,"44km E of Isangel, Vanuatu",earthquake,9.4,1.9,0.088,42,reviewed,us,us
2018-12-12T18:41:22.210Z,30.0401,69.8569,10,4.7,mb,,98,4.54,0.46,us,us2000iszs,2018-12-12T19:47:15.040Z,"35km ENE of Barkhan, Pakistan",earthquake,8.2,1.9,0.089,38,reviewed,us,us
2018-12-12T17:34:31.780Z,-21.2564,175.657,10,4.8,mb,,140,4.16,0.73,us,us2000iszb,2018-12-12T20:31:31.040Z,"123km ENE of Ceva-i-Ra, Fiji",earthquake,4.8,1.9,0.119,23,reviewed,us,us
2018-12-12T16:15:02.980Z,57.2304,89.1251,10,4.6,mb,,104,4.097,0.83,us,us2000iswy,2018-12-14T02:37:58.040Z,"58km E of Tegul'det, Russia",earthquake,8.6,1.9,0.076,51,reviewed,us,us
2018-12-12T15:18:43.590Z,-7.4645,128.6421,121.4,4.5,mb,,63,2.682,1.1,us,us2000iswn,2018-12-14T02:22:09.040Z,"299km W of Saumlaki, Indonesia",earthquake,6.1,5.8,0.092,35,reviewed,us,us
2018-12-12T14:37:12.350Z,18.1473,146.0512,108.41,5,mb,,80,4.672,0.82,us,us2000iswk,2018-12-13T06:59:31.040Z,"29km E of Pagan, Northern Mariana Islands",earthquake,10.1,7.8,0.072,61,reviewed,us,us
2018-12-12T13:24:22.950Z,23.8507,121.5624,10,4.9,mb,,75,0.323,0.49,us,us2000isw5,2018-12-12T13:50:31.040Z,"14km SSW of Hualian, Taiwan",earthquake,4.8,1.9,0.065,74,reviewed,us,us
2018-12-12T13:13:57.210Z,-55.799,-128.4776,10,6.3,mww,,83,29.939,1.2,us,us2000isw3,2018-12-13T07:08:54.572Z,"Pacific-Antarctic Ridge",earthquake,14.8,1.9,0.068,21,reviewed,us,us
2018-12-12T09:14:28.080Z,-55.8288,-30.032,33.32,5.3,mb,,102,4.022,0.68,us,us2000isqa,2018-12-12T09:30:53.040Z,"200km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,12.5,5.7,0.091,40,reviewed,us,us
2018-12-12T08:49:57.150Z,36.5323,140.564,61.82,4.8,mb,,143,1.346,0.67,us,us2000isq4,2018-12-13T13:00:52.728Z,"7km N of Funaishikawa, Japan",earthquake,7.9,8.3,0.096,33,reviewed,us,us
2018-12-12T07:51:57.440Z,-7.4172,126.8167,299.5,4.5,mb,,77,3.428,1.05,us,us2000isps,2018-12-12T08:23:30.040Z,"186km NE of Dili, East Timor",earthquake,5,10.3,0.156,12,reviewed,us,us
2018-12-12T04:59:53.670Z,-4.6303,152.886,65.77,4.9,mb,,97,0.842,0.92,us,us2000isp8,2018-12-12T05:16:28.040Z,"24km SW of Taron, Papua New Guinea",earthquake,8.4,7.2,0.11,26,reviewed,us,us
2018-12-12T03:37:45.650Z,13.6901,120.9559,181.97,4.7,mb,,125,8.798,0.59,us,us2000isp2,2018-12-12T04:01:37.098Z,"5km SSE of Talaga, Philippines",earthquake,12.7,9.4,0.106,27,reviewed,us,us
2018-12-12T03:24:26.350Z,-20.1578,-174.12,35,5.1,mb,,72,4.096,1.02,us,us2000isp1,2018-12-12T06:19:17.040Z,"46km SSE of Pangai, Tonga",earthquake,11.7,2,0.074,60,reviewed,us,us
2018-12-12T00:31:03.450Z,-50.6578,-74.1502,14.17,4.7,mb,,167,1.299,0.93,us,us2000ismi,2018-12-12T01:49:24.826Z,"137km WSW of El Calafate, Argentina",earthquake,8.4,4.4,0.088,39,reviewed,us,us
2018-12-11T17:55:06.490Z,-34.9825,-71.1195,96.49,4.6,mwr,,47,0.336,0.68,us,us2000isjl,2018-12-12T22:52:32.947Z,"10km E of Curico, Chile",earthquake,4.8,4.2,0.045,47,reviewed,us,us
2018-12-11T17:20:15.320Z,-1.5399,98.7622,27.67,5.2,mb,,135,2.936,0.89,us,us2000isjf,2018-12-12T22:44:01.040Z,"50km W of Muara Siberut, Indonesia",earthquake,8.3,4.9,0.063,83,reviewed,us,us
2018-12-11T17:04:06.860Z,38.1439,74.1855,165.64,4.6,mb,,53,2.091,1.08,us,us2000isjc,2018-12-12T22:40:05.040Z,"19km E of Murghob, Tajikistan",earthquake,5.8,6.6,0.066,68,reviewed,us,us
2018-12-11T14:20:48.930Z,-4.6415,102.4835,58.2,4.9,mb,,80,0.547,0.66,us,us2000iuq3,2018-12-18T14:55:37.040Z,"96km SSE of Bengkulu, Indonesia",earthquake,7.7,3.2,0.088,41,reviewed,us,us
2018-12-11T12:47:36.100Z,1.2963,97.0545,20.91,5,mb,,179,0.52,0.86,us,us2000ishx,2018-12-11T13:19:17.464Z,"150km SSE of Sinabang, Indonesia",earthquake,8.7,6.6,0.088,41,reviewed,us,us
