time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-19T08:01:48.826Z,61.3982,-150.0623,36.7,1.6,ml,,,,0.57,ak,ak20522768,2018-12-19T08:07:39.446Z,"14km SSW of Big Lake, Alaska",earthquake,,1,,,automatic,ak,ak
2018-12-19T07:58:43.090Z,33.9638333,-117.1226667,15.22,1.14,ml,30,93,0.04477,0.12,ci,ci38166639,2018-12-19T14:23:39.982Z,"7km WSW of Calimesa, CA",earthquake,0.23,0.35,0.252,28,reviewed,ci,ci
2018-12-19T07:52:04.030Z,61.4784,-149.928,33.3,1.7,ml,,,,0.82,ak,ak20522766,2018-12-19T07:57:15.095Z,"4km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-19T07:37:53.690Z,38.8053322,-122.7786636,1.45,0.52,md,11,68,0.02602,0.03,nc,nc73123040,2018-12-19T08:23:03.396Z,"4km NNW of The Geysers, CA",earthquake,0.25,1.11,0.2,3,automatic,nc,nc
2018-12-19T07:09:34.080Z,37.4215,-117.0965,7,0.9,ml,21,145.27,0.187,0.21,nn,nn00670803,2018-12-19T07:10:43.062Z,"34km SSE of Goldfield, Nevada",earthquake,,19.7,,,automatic,nn,nn
2018-12-19T07:04:46.470Z,18.0061,-66.6033,17,1.21,md,3,318,0.0368,0.11,pr,pr2018353012,2018-12-19T13:44:35.610Z,"1km ESE of Ponce, Puerto Rico",earthquake,2.73,0.81,0.15,2,reviewed,pr,pr
2018-12-19T07:02:34.803Z,62.5275,-149.7761,72,1.8,ml,,,,0.79,ak,ak20522761,2018-12-19T07:07:37.259Z,"28km NE of Talkeetna, Alaska",earthquake,,1.5,,,automatic,ak,ak
2018-12-19T06:56:31.650Z,36.149,-89.6903333,9.46,1.75,md,18,53,0.03044,0.04,nm,nm60222267,2018-12-19T14:09:14.723Z,"5km SSW of Caruthersville, Missouri",earthquake,0.29,0.45,0.103,14,reviewed,nm,nm
2018-12-19T06:56:00.930Z,18.1428,-68.9763,121,2.91,md,15,235,0.7012,0.7,pr,pr2018353009,2018-12-19T09:04:40.493Z,"31km S of La Romana, Dominican Republic",earthquake,9.53,4.56,0.44,12,reviewed,pr,pr
2018-12-19T06:45:06.229Z,61.4088,-150.0893,33.5,1.6,ml,,,,0.82,ak,ak20522754,2018-12-19T06:50:10.581Z,"14km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-19T06:42:02.710Z,33.729,-116.0661667,0.8,1.05,ml,26,96,0.07869,0.24,ci,ci38166631,2018-12-19T06:45:40.278Z,"11km ENE of Coachella, CA",earthquake,0.32,0.72,0.101,26,automatic,ci,ci
2018-12-19T06:36:13.574Z,61.3678,-149.9582,33.5,1.8,ml,,,,0.41,ak,ak20522750,2018-12-19T06:39:46.200Z,"16km N of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-19T06:30:23.637Z,64.764,-151.3481,18.3,1.5,ml,,,,0.4,ak,ak20522746,2018-12-19T06:36:04.608Z,"42km SW of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-12-19T06:28:53.250Z,36.0226667,-117.7741667,1.3,0.84,ml,10,65,0.007653,0.12,ci,ci38166623,2018-12-19T06:32:32.930Z,"15km NE of Little Lake, CA",earthquake,0.31,0.22,0.161,8,automatic,ci,ci
2018-12-19T06:18:49.132Z,61.3774,-150.0284,32.5,1.9,ml,,,,0.62,ak,ak20522741,2018-12-19T08:18:22.554Z,"16km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-12-19T06:09:18.340Z,18.6651,-68.0816,9,2.54,md,13,185,0.3358,0.83,pr,pr2018353008,2018-12-19T09:04:11.317Z,"35km ENE of Punta Cana, Dominican Republic",earthquake,3.62,3.23,0.54,10,reviewed,pr,pr
2018-12-19T05:59:37.159Z,62.2022,-142.3231,20.6,1.9,ml,,,,1.01,ak,ak20522735,2018-12-19T06:04:12.176Z,"130km SSE of Tok, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-12-19T05:44:48.604Z,61.4199,-150.1138,35,1.9,ml,,,,0.59,ak,ak20522730,2018-12-19T05:50:57.334Z,"14km SW of Big Lake, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-12-19T05:44:43.240Z,33.6461667,-116.6738333,14.67,0.63,ml,27,72,0.06529,0.2,ci,ci38166615,2018-12-19T14:23:57.332Z,"10km N of Anza, CA",earthquake,0.37,0.45,0.13,11,reviewed,ci,ci
2018-12-19T05:42:21.965Z,61.5437,-149.9493,43.2,1.5,ml,,,,0.58,ak,ak20522727,2018-12-19T05:46:04.819Z,"2km N of Big Lake, Alaska",earthquake,,1.4,,,automatic,ak,ak
2018-12-19T05:41:49.774Z,61.3356,-150.0226,35.6,1.6,ml,,,,0.48,ak,ak20522726,2018-12-19T05:46:05.103Z,"14km NNW of Anchorage, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-12-19T05:40:57.469Z,61.4064,-149.9836,39.5,1.8,ml,,,,0.63,ak,ak20522723,2018-12-19T05:46:04.478Z,"12km S of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-12-19T05:40:23.390Z,33.5148333,-116.7995,2.74,0.43,ml,16,72,0.002557,0.2,ci,ci38166607,2018-12-19T14:23:55.266Z,"10km NE of Aguanga, CA",earthquake,0.42,0.56,0.12,11,reviewed,ci,ci
2018-12-19T05:35:29.990Z,17.8911,-66.7103,24,1.65,md,4,250,0.184,0.24,pr,pr2018353010,2018-12-19T09:54:26.175Z,"11km S of Tallaboa, Puerto Rico",earthquake,2.06,2.9,0.24,3,reviewed,pr,pr
2018-12-19T05:33:21.290Z,19.4034996,-155.283493,0.05,1.7,ml,22,47,0.01232,0.11,hv,hv70737786,2018-12-19T05:39:03.750Z,"5km WSW of Volcano, Hawaii",earthquake,0.14,0.18,0.25,10,automatic,hv,hv
2018-12-19T05:31:03.076Z,61.381,-150.0808,33,2,ml,,,,0.43,ak,ak20522717,2018-12-19T05:42:12.583Z,"17km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-12-19T05:27:57.390Z,37.6358337,-118.870163,-2.07,1.06,md,5,195,0.01776,0.09,nc,nc73123020,2018-12-19T05:29:36.008Z,"10km E of Mammoth Lakes, CA",earthquake,0.62,10.11,0.18,5,automatic,nc,nc
2018-12-19T05:27:10.710Z,37.4726677,-118.8133316,5.85,2.14,md,24,175,0.1178,0.04,nc,nc73123015,2018-12-19T07:29:02.106Z,"15km SW of Toms Place, CA",earthquake,0.43,1.69,0.26,23,automatic,nc,nc
2018-12-19T05:27:02.042Z,61.3753,-150.0861,37.1,1.9,ml,,,,0.3,ak,ak20522715,2018-12-19T05:31:27.554Z,"17km SSW of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-12-19T05:26:04.130Z,37.4696655,-118.815834,6.05,2.74,md,32,129,0.1206,0.04,nc,nc73123010,2018-12-19T12:10:14.224Z,"16km SW of Toms Place, CA",earthquake,0.29,1.58,0.22,31,automatic,nc,nc
2018-12-19T05:20:57.260Z,38.8036652,-122.7386703,1.72,0.69,md,7,113,0.02045,0.01,nc,nc73123005,2018-12-19T05:36:05.266Z,"2km SSW of Cobb, CA",earthquake,0.34,0.64,0.17,2,automatic,nc,nc
2018-12-19T05:12:12.950Z,18.091,-67.0158,11,1.75,md,6,97,0.1099,0.23,pr,pr2018353007,2018-12-19T09:03:48.693Z,"3km ENE of San German, Puerto Rico",earthquake,0.79,3.07,0.12,5,reviewed,pr,pr
2018-12-19T05:05:12.170Z,18.0031,-66.592,16,1.54,md,3,325,0.0422,0.04,pr,pr2018353005,2018-12-19T09:03:19.589Z,"2km ESE of Ponce, Puerto Rico",earthquake,1.8,0.51,0.07,2,reviewed,pr,pr
2018-12-19T05:02:37.962Z,61.1348,-140.4729,17.4,1.6,ml,,,,0.25,ak,ak20522711,2018-12-19T05:05:28.132Z,"160km NE of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-12-19T04:54:18.670Z,33.782,-116.0586667,1.64,0.91,ml,15,156,0.1319,0.2,ci,ci38166583,2018-12-19T04:58:01.140Z,"16km NE of Coachella, CA",earthquake,0.52,0.96,0.193,15,automatic,ci,ci
2018-12-19T04:50:26.240Z,34.1821667,-117.3431667,6.91,0.96,ml,17,82,0.03087,0.18,ci,ci38166575,2018-12-19T14:24:29.081Z,"3km N of Muscoy, CA",earthquake,0.44,0.59,0.228,26,reviewed,ci,ci
2018-12-19T04:43:10.750Z,61.0351,-140.3407,16.6,1.6,ml,,,,0.23,ak,ak20522707,2018-12-19T04:52:43.475Z,"156km WNW of Haines Junction, Canada",earthquake,,0.3,,,automatic,ak,ak
2018-12-19T04:42:36.130Z,33.7326667,-116.055,2.33,1.58,ml,39,57,0.08389,0.19,ci,ci38166567,2018-12-19T14:24:46.177Z,"12km ENE of Coachella, CA",earthquake,0.23,0.57,0.136,26,reviewed,ci,ci
